ID,gardian_gender_T1,gardian_age_T1,prefecture_T1,area_T1,married_T1,familyincome_T1,pinincome_T1,job_T1,child_gender_T1,hsc1_T1,hsc2_T1,hsc3_T1,hsc4_T1,hsc5_T1,hsc6_T1,hsc7_T1,hsc8_T1,hsc9_T1,hsc10_T1,hsc11_T1,hsc12_T1,health1_T1,health2_T1,health3_T1,health4_T1,health5_T1,panas1_T1,panas2_T1,panas3_T1,panas4_T1,panas5_T1,panas6_T1,panas7_T1,panas8_T1,panas9_T1,panas10_T1,panas11_T1,panas12_T1,panas13_T1,panas14_T1,panas15_T1,panas16_T1
2769295,0,46,11,3,2,5,5,3,0,4,6,4,4,4,5,3,5,5,6,6,4,3,3,2,2,2,3,2,1,3,2,2,3,2,2,4,2,3,3,3,4,3
2816764,0,46,21,4,2,5,4,5,0,3,3,4,5,2,5,5,5,5,6,5,5,2,2,3,2,2,3,3,3,3,4,4,4,3,4,3,5,3,2,2,3,2
3002754,0,56,29,5,2,4,4,4,0,5,2,6,4,3,5,4,5,3,6,5,4,5,4,4,4,3,2,4,1,4,3,3,4,3,2,5,3,3,3,3,5,1
3017386,1,51,13,3,2,6,1,8,1,5,7,3,5,7,5,7,4,3,7,7,4,4,3,4,5,6,1,4,1,4,3,4,5,6,3,4,3,5,4,3,3,4
3022632,0,45,35,6,2,3,3,5,1,3,4,5,5,6,5,6,4,4,6,5,6,2,2,3,3,1,4,3,4,3,4,2,5,4,4,2,4,3,3,3,4,2
3034718,1,48,23,4,2,4,1,9,1,2,6,5,7,4,7,7,7,6,7,7,7,2,1,2,2,1,6,2,6,1,6,1,6,1,5,1,5,1,6,1,6,1
3035188,0,47,34,6,2,5,4,3,0,4,5,3,5,5,5,3,4,4,6,5,5,2,2,2,2,2,4,3,4,3,3,3,4,3,4,2,4,2,2,3,3,2
3040290,1,42,1,1,2,4,1,8,1,4,5,6,5,7,6,7,6,4,7,1,5,3,4,4,3,2,1,5,1,1,1,3,3,3,4,4,4,2,1,3,4,2
3065929,0,49,13,3,2,5,5,2,1,4,4,3,4,2,4,4,4,4,3,4,4,4,4,5,4,4,1,4,1,3,1,3,3,3,3,3,3,4,3,3,3,3
3066319,0,52,27,5,2,3,3,3,0,7,5,1,3,7,5,6,6,3,6,6,2,2,3,4,1,4,1,4,1,4,2,5,4,2,2,5,2,4,1,3,5,3
3078324,1,47,1,1,2,3,1,9,1,5,4,5,5,6,5,6,4,4,5,4,2,3,3,4,2,3,3,4,2,4,3,5,3,5,3,4,5,3,2,3,4,2
3081699,0,56,13,3,2,5,5,4,1,4,2,5,3,4,3,4,2,4,6,4,4,5,5,5,4,4,2,4,2,4,2,3,3,4,2,4,3,4,2,3,2,3
3083934,0,57,27,5,2,3,3,4,1,3,2,6,2,3,3,5,4,4,6,2,6,4,4,3,2,2,2,5,2,4,3,5,3,4,2,4,2,4,2,3,2,3
3091672,1,39,22,4,2,4,1,8,0,4,4,3,5,4,4,6,6,3,3,4,5,4,5,4,4,4,2,3,1,3,3,5,4,5,3,3,3,4,1,3,3,3
3096822,1,47,11,3,2,5,1,9,0,5,7,4,4,5,6,5,4,4,5,7,4,3,3,3,5,2,1,3,1,3,3,2,2,3,1,3,4,1,1,2,3,1
3096874,1,38,28,5,1,2,2,3,1,4,6,5,5,4,4,7,6,7,4,7,7,4,4,4,4,2,2,1,1,2,2,2,4,5,5,3,4,2,3,3,5,1
3098331,1,42,13,3,2,4,1,9,0,4,4,4,3,4,3,3,4,4,5,5,3,2,2,2,2,3,3,2,3,3,3,3,3,3,3,3,4,3,3,3,4,3
3155109,1,45,28,5,2,7,3,5,1,4,6,7,3,7,5,6,3,3,7,6,4,4,4,3,4,4,2,5,2,4,1,3,3,4,3,4,2,5,1,3,3,2
3164083,0,56,25,5,2,.,.,2,0,6,4,4,5,6,3,5,4,3,7,4,3,3,4,3,5,4,1,5,2,4,3,4,5,6,3,4,4,4,1,3,4,4
3191270,1,45,13,3,2,7,1,9,1,7,5,6,1,6,4,3,3,3,7,4,4,5,5,5,6,4,1,5,1,2,1,3,2,4,1,1,1,5,1,1,1,1
3195901,1,50,37,7,2,10,10,8,0,2,2,5,2,3,2,3,4,2,6,6,3,4,2,5,4,4,1,5,1,4,1,3,4,3,2,5,3,3,1,1,2,3
3196663,1,41,17,4,2,.,.,5,1,4,2,4,3,6,4,7,4,3,6,4,4,4,3,4,3,2,2,4,2,3,1,2,3,3,3,3,2,4,1,1,3,2
3202871,1,47,27,5,2,3,1,8,0,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3208558,0,49,43,8,2,4,4,5,1,4,2,3,4,5,3,4,3,5,5,5,6,3,4,3,4,3,3,3,3,3,3,2,4,3,3,3,3,3,3,3,4,3
3211232,0,49,10,3,2,4,4,4,1,6,4,6,4,7,3,6,4,3,7,5,3,2,3,5,2,4,2,4,3,3,3,4,4,5,4,3,4,3,3,3,3,4
3220358,1,49,35,6,2,2,10,6,1,4,6,6,6,6,4,4,4,4,6,4,5,2,2,2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3
3224669,0,55,28,5,2,4,4,3,1,5,4,5,5,4,4,7,4,3,5,5,4,2,3,4,3,3,3,4,3,4,3,3,3,4,3,3,3,4,2,3,3,3
3239872,0,59,28,5,2,4,3,4,0,4,3,4,5,5,6,4,5,4,6,6,6,2,2,3,3,4,2,3,3,3,2,3,4,3,5,3,4,3,4,3,4,3
3261054,0,44,23,4,2,4,4,4,1,6,4,4,4,4,4,4,4,5,4,4,4,2,3,2,2,2,3,3,1,4,3,3,3,3,4,4,4,4,4,4,4,4
3282714,1,43,22,4,2,3,1,9,0,4,5,5,5,5,5,5,5,5,6,6,5,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,5,3,2,3,3,2
3321436,1,54,13,3,2,10,1,9,1,5,2,3,7,6,7,4,4,6,7,4,7,1,1,1,1,1,5,1,4,1,6,2,4,1,6,3,3,1,6,3,5,1
3337863,1,44,46,8,2,3,1,9,1,4,3,4,3,4,4,4,3,3,3,4,2,3,3,3,3,3,4,3,4,2,4,3,4,2,4,2,4,2,5,2,4,2
3370423,0,54,13,3,2,3,3,5,0,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,2,2,2,3,2,2,2,3,2,3,2,2,2,3,2,2,2,2
3379953,0,49,35,6,2,4,4,1,0,4,4,3,3,3,2,4,3,4,2,6,7,2,2,2,4,4,2,4,2,3,2,4,5,5,6,5,4,1,2,3,4,3
3391252,1,42,31,6,2,4,1,8,0,4,4,4,4,3,4,4,4,4,3,4,4,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3
3398581,0,51,22,4,2,5,2,5,0,3,3,4,5,6,5,5,4,3,5,3,3,3,4,3,4,3,1,4,1,4,1,4,3,4,1,4,3,4,3,3,3,3
3398815,0,48,26,5,2,6,4,4,0,4,4,4,3,4,5,5,4,3,3,4,4,3,3,3,3,3,4,4,4,3,3,4,4,4,3,4,3,5,3,3,4,3
3398858,1,43,43,8,2,3,3,7,0,6,5,3,3,5,5,5,5,5,5,5,5,4,4,4,4,4,1,5,1,4,1,4,3,2,2,1,1,1,2,2,4,2
3399446,0,50,12,3,2,4,4,6,1,4,3,4,4,4,4,3,3,4,4,3,5,4,4,4,5,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3
3400719,0,44,11,3,2,.,.,4,1,4,4,3,4,3,3,4,4,4,3,4,4,1,1,1,1,1,3,4,3,3,3,3,3,4,4,3,3,3,3,3,3,3
3420350,1,37,14,3,2,3,1,8,1,2,6,7,1,7,7,5,5,7,7,3,7,2,5,4,3,3,5,3,3,2,3,3,5,3,4,5,6,2,3,2,6,2
3424291,0,45,21,4,2,5,3,4,1,5,7,5,5,5,7,4,5,6,7,7,5,1,2,2,2,3,3,2,5,2,3,2,5,3,6,2,5,2,3,4,5,3
3438953,1,50,27,5,2,3,1,9,1,4,4,2,3,2,2,2,3,3,2,3,3,4,4,4,4,4,3,4,3,4,3,3,4,4,4,3,4,4,3,3,4,4
3447734,0,47,27,5,2,2,2,11,0,4,5,4,3,2,3,5,3,3,3,3,3,4,3,3,3,4,2,4,2,3,2,2,2,3,2,2,2,2,2,2,2,2
3452676,1,43,23,4,2,2,1,9,0,5,5,3,5,7,6,3,4,6,6,6,4,3,3,3,3,3,3,4,3,4,3,4,3,3,3,3,3,3,3,3,3,3
